CodeName,ThemeNumber,ThemeName,FirstTenNotes,StartTime,Bookmark
"DebussyReverie",2,"Second theme","F F E F  F E E F E E F A F",115,"C"
"DeckHalls",1,"Main tune","C BbA G F G A F G A BbG A",0,"S"
"DeepPurple",1,"Main theme","C D C C D EbC C#D G BbD",0,"E"
"DeFallaFireDance",1,"Ritual Fire dance from El Amor Brujo","C C D EbF EbD C B C ",0,"W"
"DeFallaThreeCorneredHatNeighbours",1,"Dance of Neighbours, from Three Cornered Hat (El Sombero de Tres Picos)","C C C C D C B G A Bb",0,"C"
"DelibesCoppeliaCzardas",1,"Czardas theme 1","A B C#D D D C#C#D D#E",0,"C"
"DelibesCoppeliaCzardas",2,"Czardas theme 2","D D D E F#G F#G E A",107,"C"
"DelibesCoppeliaPrelude",1,"Prelude, 1st theme in 4/4 time.","F#A F#D D E F#G F#E D",0,"C"
"DelibesCoppeliaPrelude",2,"Prelude, 2nd theme - main waltz theme","G F#E E E F#D C#B D G",114,"W"
"DelibesCoppeliaPrelude",3,"3rd theme of Prelude - (Mazurka theme)","A D F#D C#D F#D B B B",152,"C"
"DelibesCoppeliaThemeSlave",1,"Theme Slave -  theme 1","E E C#D G#F#E C#E D B",0,"C"
"DelibesCoppeliaWaltz",1,"Coppelia Ballet, Waltz","E G C D B A B G E F ",0,"W"
"DelibesFlowerDuet",1,"This is the upper part of the duet  for two sopranos","E D E F E D E F E F",0,"C"
"DelibesFlowerDuet",2,"This is the lower part of the duet  for two sopranos","C B C B A B C D C B",67,"C"
"DelibesMaidsCadiz",1,"Main theme","E A B C D E G E D C B A",0,"C"
"DelibesSylviaBacchusMarch",1,"Main theme of Bacchus's March","B E D#D D D D D B E",0,"C"
"DelibesSylviaChasseresses",1,"Main theme","EbBbG EbF BbBbBbEbBb",0,"W"
"DelibesSylviaPizzicato",1,"Main theme","G BbF AbEbG BbC EbD",0,"L"
"DelibesSylviaPrelude",1,"Main slow theme, tutti","G#G#G#G#A B G#F#F#E G#",0,"C"
"DelibesSylviaValseLente",1,"Main theme","D A E A F#A F#F#D A",0,"C"
"DeliusKoangaCalinda",1,"Main theme","D E F#G A F#G A B E E",0,"C"
"DeliusSummerGarden",1,"In a Summer garden, 1st theme B","A C C G A G G A E D ",0,"C"
"DeSeveracCerdanaM1",1,"Introductory free-flowing arpeggios.","C C G C E G",0,"C"
"DeSeveracCerdanaM2",1,"Very quiet introductory passage","BbC G BbF G EbF G F",0,"C"
"DeSeveracCerdanaM3",1,"A dramatic start to a lively movement.","F BbF D F D F D F D F D",0,"C"
"DeSeveracCerdanaM4",1,"con dolore.","BbF G F F EbBbBbA F",0,"C"
"DeSeveracCerdanaM5",1,"Allegro","AbBbC AbBbC BbAbBbD",0,"C"
"DingDong",1,"Verse","C C D C B A G  G A C C B C",0,"S"
"DingDong",2,"Chorus","G F E F G E F E D E F D E",16,"S"
"DonizettiFurtivaLagrima",1,"Main tune","D G G G G G F#A EbA A C Bb",0,"C"
"Dontget",1,"Don't get around much","E D C G F E E B G C ",0,"J"
"DrinkToMeOnly",1,"Drink To Me Only With Thine Eyes","E E E F F G F E D E ",0,"F"
"DukasSorcerer",1,"Mystical introduction theme","B BbB AbG AbF E F D",0,"C"
"DukasSorcerer",2,"Sorcerer's Apprentice, main comic tune on bassoon.","A E E F#AbA C A C B ",152,"L"
"DukasSorcerer",3,"Third theme, lots of activity.","G F F EbF G F F EbEbD",222,"C"
"DurandValseinEb",1,"Valse in Eb","E G A G E G A G E G",0,"C"
"DvorakCelloConcM1",1,"First theme","A B C A A G E A A B ",0,"C"
"DvorakCelloConcM1",2,"Second theme, on french horn.","E D C A C G C D E G",134,"C"
"DvorakCelloConcM2",1,"First theme","D E C D D G D B B C B A G",0,"C"
"DvorakCelloConcM2",2,"Second theme","G D C B A G G G A B C A",195,"C"
"DvorakCelloConcM3",1,"First theme","E A B C B A E D C B A B",0,"C"
"DvorakDumkyTrio1And2",1,"Dumky Trio Movements 1 and 2.","B G A C B G F#A G F#",0,"C"
"DvorakHumoresque",1,"Humoresque Op 101 No 7","G A G A B D E D  G F#",0,"C"
"DvorakMoonSong",1,"Song to the Moon from Rusalka","E E D E G D E C A C ",0,"W"
"DvorakPianoQuartetOp23M1",1,"First theme, low on cello","C E E D E G E E C E E",0,"C"
"DvorakPianoQuartetOp23M1",2,"second theme","G E A G A G E C E C F",139,"C"
"DvorakPianoQuartetOp23M2",1,"Main theme","E C E C A C B A D C B A",0,"C"
"DvorakPianoQuartetOp23M3",1,"First theme","D D C#D E C D C#D E F G",0,"C"
"DvorakPianoQuartetOp23M3",2,"Second theme","B D G F# A C E EbF#B F#",93,"C"
"DvorakRomanceOp11",1,"Main tune","E E F E F G E C D C D E",0,"C"
"DvorakSerenadeStringsM1",1,"Serenade for Strings in E Op 22  1st Movt","E D C D E D F E E D",0,"W"
"DvorakSerenadeStringsM2",1,"Serenade for strings in E Op 22  2nd Movt - Tempo di Valse ","G G AbG F EbD C EbC",0,"C"
"DvorakSerenadeStringsM2",2,"Second theme forms a contrast in a distant key","G E D C B E A A C B A G",141,"C"
"DvorakSerenadeStringsM3",1,"Main theme","F E D C C C C D E F G C",0,"C"
"DvorakSerenadeStringsM4",1,"Main theme","C B E E A G A G C C F E",0,"C"
"DvorakSerenadeStringsM5",1,"Main theme","E A E E F E C C D C A A",0,"C"
"DvorakSlavonicOp46M1",1,"An extremely lively scherzo-like tune opens this work.","E F G G A G C G G F E",0,"C"
"DvorakSlavonicOp46M1",2,"Another lively melody that goes round and round","G G F E D C B C D C G",67,"C"
"DvorakSlavonicOp46M2",1,"First theme","B G F#E EbB A B A G F#G",0,"C"
"DvorakSlavonicOp46M2",2,"Second theme","D D C#C B C B A G A B A G",91,"C"
"DvorakSlavonicOp46M3",1,"First theme","G G C C G G E E F F G G E E F F#G",0,"C"
"DvorakSlavonicOp46M3",2,"Second theme","A G E D C B C B C D B C",57,"C"
"DvorakSlavonicOp46M4",1,"First theme","F A C F C A C C A A G A Bb",0,"C"
"DvorakSlavonicOp46M4",2,"Second theme","G E E F D E E F D E C G",221,"C"
"DvorakSlavonicOp46M5",1,"First theme","C E D E F G D D D G D G D",0,"C"
"DvorakSlavonicOp46M5",2,"Second theme","F#E F#A G F#G A G F#B A G",20,"C"
"DvorakSlavonicOp46M6",1,"First theme","E F G C E D E D B G",0,"C"
"DvorakSlavonicOp46M6",2,"Second theme","G E E E D E F G E E D C",63,"C"
"DvorakSlavonicOp46M7",1,"Main theme","G C D EbC G C D EbC F",0,"C"
"DvorakSlavonicOp46M8",1,"First theme","G D BbG A A BbG A A BbG",0,"L"
"DvorakSlavonicOp72M2",1,"First theme","B C B BbB C B A G F#E F#",0,"W"
"DvorakSlavonicOp72M2",2,"Second theme","B AbB AbC#A C#A EbE",104,"C"
"DvorakSlavonicOp72M2",3,"Third theme","G A B C D E F E D C A C",137,"C"
"DvorakStringQuartetOp96M1",1,"First theme","F A C D F D C A F G A C",0,"C"
"DvorakStringQuartetOp96M2",1,"First theme","A G F D D A A D D E F",0,"C"
"DvorakStringQuartetOp96M3",1,"First theme","C F D C D F C F D C D A",0,"C"
"DvorakStringQuartetOp96M4",1,"First theme","C D F D C A F D D D D D",0,"C"
"DvorakSym8M1",1,"Symphony No 8 in G Op 88 1st Movt","G G G C BbG AbF EbG ",0,"C"
"DvorakSym8M1",2,"The 2nd subject is a chirpy birdsong tune on the flute, which later dominates the whole first movement.","C E G E A E G E A E",42,"C"
"DvorakSym8M1",3,"The 3rd theme, on cellos and violas, returns briefly to the idyllic mood of the 1st theme","E D C D E F F F F F",82,"C"
"DvorakSym8M1",4,"The 4th theme, in B minor, is a relaxed swinging tune for clarinets and winds over flowing triplets in the strings.","E E E E E E E E E D",155,"C"
"DvorakSym8M2",1,"A sort of dirge based on a short motif on the strings, followed by dark clarinets playing in close harmony","E F G A G F G C D E ",0,"C"
"DvorakSym8M2",2,"This is the joyous and lyrical C major 2nd theme, played by oboes and flutes against lilting descending violin passages and punctuated by pizzicato chords on the lower strings and horns.","G G G A B C D E F G",199,"C"
"DvorakSym8M3",1,"The opening theme is a graceful tune played by the first violins, then a harsher variation of it is played by the woodwinds.","E A C E D C C B A C ",0,"C"
"DvorakSym8M3",2,"The second theme is effectively the trio that traditionally came with a minuet in the classical period. It is a charming tune in G major, played on flutes and oboes, and later accompanied  by a smoother counter-melody on the violas.","E E E G A A A E F C",100,"C"
"DvorakSym8M4",1,"Trumpet fanfare which opens 4th movement of Dvorak's 8th Symphony.","G G G G G G F G A F",0,"C"
"DvorakSym8M4",2,"Cello melody forming 1st major theme of 4th movement.","C E G F G A F E F G",30,"W"
"DvorakSym8M4",3,"This 2nd theme is a solid lumbering tune in C minor played by the oboes and clarinets, which Dvorak then develops, especially by using the emphatic rhythm of its first two bars.","C C C C C D EbD C C",191,"C"
"DvorakSym9M1",1,"Slow contemplative introductory passage on the strings.","A G A E F E F C D C ",0,"C"
"DvorakSym9M1",2,"This is the first theme after the introductory passages, played by the 3rd French Horn.","E G B E G E C B E G",118,"L"
"DvorakSym9M1",3,"Second theme, a gentle tune quietly introduced by the oboes and flutes.","G BbBbA G A C C A C",182,"C"
"DvorakSym9M1",4,"Third theme. a lilting happy tune played by the flutes, in the relative major key of G.","G G E D G B D D D D",241,"C"
"DvorakSym9M2",1,"After a chordal intoduction, the cor anglais gently states thhis famous tune, the main theme of the movement.","E G G E D C D E G E ",0,"W"
"DvorakSym9M2",2,"This 2nd theme comes in lightly on the flutes and oboes, in the distant key of C# minor","EbD C C EbD C EbD C",294,"C"
"DvorakSym9M2",3,"This 3rd theme follows theme 2 with a slightly bolder tune on the clarinets, with pizzicato strings in the background.","C D EbG F AbG F EbEb",322,"C"
"DvorakSym9M3",1,"After 12 bars of dramatic introduction, the flutes and oboes introduce theme 1 of the scherzo","B B B E E F#A G F#E",0,"C"
"DvorakSym9M3",2,"Flutes and oboes play this 2nd theme against a a whimsical repeated phrase from the bassoons.","E G G A G D C D E G ",90,"C"
"DvorakSym9M3",3,"Theme 3 by woodwinds with strings accompanying.","C C C E E E G G G G ",184,"C"
"DvorakSym9M4",1,"Dramatic rather chromatic introduction to the 4th movement on the strings.","E F E F E F E F E F ",0,"C"
"DvorakSym9M4",2,"Theme 1 follows the brief dramatic string introduction, with a strident and majestic first tune proclaimed by the trumpets","E F#G F#E E E D B D",16,"C"
"DvorakSym9M4",3,"Theme 2 is a triplet figure on the first violins","E F#G D B D E F#G D",76,"C"
"DvorakSym9M4",4,"Theme 3 is a happy tune played by the clarinets","E D A F#D C C B D D",117,"C"
"EarlyOneMorning",1,"Early One Morning","C C C C E G G A F D ",0,"F"
"ElChoclo",1,"El Choclo -  Tango Argentine","A A BbBbA A D D F F",0,"E"
"ElgarBassoonRomance",1,"First theme by solo bassoon","A D F D C BbD BbG G A Bb",0,"C"
"ElgarCelloConcM1",1,"Introductory theme","B E D C B C A A G F#",0,"C"
"ElgarCelloConcM1",2,"First main theme, this is the most well-known adagio cello tune  from this concerto.","F#G F#A B A G E D E",72,"C"
"ElgarCelloConcM2",1,"After a brief orchestral introduction, the cello plays this stark passage.","B B B B B D D D D B B B",0,"C"
"ElgarCelloConcM3",1,"Main theme","D F BbF F#G BbC D",0,"C"
"ElgarCelloConcM4",1,"Main theme","E G F#E F#D C D B D C B",0,"C"
"ElgarChansonMatin",1,"Principal theme","G G G F#E F#G D C A",0,"C"
"ElgarDamaskRose",1,"Like to the Damask Rose","E E E F F A A AbAbA ",0,"C"
"ElgarEnigma0Andante",1,"Enigma Variations","G E A F#B G F#A G B ",0,"W"
"Aberystwyth",1,"Saviour, When in Dust to Thee  (Hymn)","A A B C D E C B A C",0,"S"
"AlbenizGranada",1,"Granada, from Suite Española, Op.47 ","C B A G A B A B A G",0,"C"
"AlbenizTango",1,"Tango in D","E E E F E G C D E B",0,"C"
"AlbinoniAdagio",1,"Adagio","E D C B A A AbF E D",0,"W"
"Alex_scc",1,"Alexander's Ragtime Band","EbE EbE EbE EbE EbE ",0,"J"
"AlfvenSwedishRhapsody",1,"Midsummer Vigil (Swedish Rhapsody)","C E G C E D B C B F ",0,"C"
"AllegriMiserere",1,"Miserere - have Mercy upon me - Psalm 51","E E E E E E C F E D",0,"W"
"Alleluia",1,"Alleluia","C D F G G F G E E D ",0,"S"
"AlleVogel",1,"Alle Vogel Sind Schon Da","C E G C A C A G F G ",0,"F"
"AllThroughNight",1,"All Through the Night","C B A C D C B G A B ",0,"F"
"AndersonBelleOfTheBall",1,"Main waltz theme","C D B C D B C D B C B BbA",0,"E"
"AndersonBlueTango",1,"Hit tango tune of the 50s, with its characteristic 'blue' counter-theme","C C C D C C C C C Bb",0,"E"
"AndersonForgottenDreams",1,"Reflective quaver theme played on the piano","D D E D D D E D A A D E C#",0,"E"
"AndersonSleighRide",1,"Main theme","F F F F G F D BbC D C A G F",0,"E"
"AndersonSyncopatedClock",1,"Main tune","C F G A F G A BbC E F G E",0,"E"
"AngelsRealms",1,"Verse theme","B B B B D D C B G B",0,"S"
"AngelsRealms",2,"Chorus theme","D E D C B C D C B A",19,"S"
"AnnieLaurie",1,"Annie Laurie","C C C C B A A G E E ",0,"F"
"ArenskyImpromptuInB",1,"Main theme","G G EbG B A G G C E",0,"C"
"ArneBeeSucks",1,"Where the bee sucks, there suck I","E F G A D G E E F G ",0,"C"
"ArneBritannia",1,"Rule!   Britannia!","G C C C D E F G C D ",0,"S"
"ArneBritannia",2,"Chorus of Rule! Britannia!","E E F F E F E D C B",30,"S"
"ArneDaisies",1,"When Daisies Pied","G E G C G F E C E D ",0,"C"
"AshGrove",1,"Main theme","D G B D B G G A C A F#D",0,"F"
"AsTime",1,"Main Theme","E F E D C D E G F E D F",0,"E"
"AuClairdelaLune",1,"Main theme","G G G A B A G B A A G",0,"N"
"AuldLangSyne",1,"Auld Lang Syne","G C C C E D C D E C",0,"F"
"AuraLee",1,"main theme","G C B C D A D C B A B C",0,"F"
"Australia",1,"First line of the tune","G C G E G C C C E D ",0,"S"
"AutumnLeaves",1,"main theme","D E F BbC D E A BbC D G",0,"P"
"Awaymanger",1,"Main tune","C F F G A F F A BbC",0,"S"
"Bach3PartInventionNo12",1,"Main theme","C B C D C B C D B C D",0,"C"
"Bachairg",1,"Air on the G String, from Suite No 3 in D","E A F D C B C B A G ",0,"W"
"BachArtOfTheFugue",1,"Art of the Fugue BWV 1080","A E C A AbA B C D C ",0,"C"
"BachBrandenburg1M1",1,"Main theme","F A C F C D C BbA G F",0,"C"
"BachBrandenburg2M3",1,"Main theme","F C C BbC D C BbC F C A",0,"C"
"BachBrandenburg3M1",1,"First theme","G F#G D C D G F#G B A B",0,"C"
"BachBrandenburg3M3",1,"Main theme","G F#G A B C D E D C B A",0,"C"
"BachBrandenburg5M3",1,"Brandenburg Concerto No 5 in D 3rd Movt","G C G A G F E F G C ",0,"C"
"BachBrandenburgConc5M1",1,"Brandenburg Concerto No 5 in D 1st Movt","C C E E G G C C B C ",0,"C"
"BachDoubleConcertoBWV1043M1",1,"Main theme","A B C D E A AbE B D ",0,"C"
"BachDoubleConcertoBWV1043M2",1,"Main theme","C B A G F E D B C F ",0,"L"
"BachDoubleConcertoBWV1043M3",1,"Main theme","A AbA E F D E C D B ",0,"C"
"BachGoldbergAria",1,"Aria from Goldberg Variations BWV 988","C C D C D E D C B A ",0,"C"
"BachInvention13inAMinor",1,"Main theme","E A C B E B D C E Ab",0,"C"
"BachInvention14inBb",1,"Two-Part Invention No 14 in Bb","C D E D C G E C G E",0,"C"
"BachInvention1inC",1,"Two-Part Invention No 1 in C","C D E F D E C G C B ",0,"C"
"BachInvention2inCMinor",1,"Two-Part Invention No 2 in C minor","A AbA B C E F G F D ",0,"C"
"BachInvention3InD",1,"Main theme","C D E D F E D C G F E D",0,"C"
"BachInvention4inDminor",1,"Main theme","D E F G A BbC#BbA G F",0,"C"
"BachInvention5inEb",1,"Main theme","EbD EbF G AbF EbF G",0,"C"
"BachInvention8inF",1,"Two-Part Invention No 8 in F","C E C G C C B A G A ",0,"C"
"BachInventionBbJazzy",1,"Invention in Bb no 14 (arranged 'jazzy')","C D E D C G E C G E ",0,"J"
"BachJesuJoy",1,"Jesu Joy of Man's desiring","C D E G F F A G G C ",0,"S"
"BachJesuJoy",2,"This is the choral theme, played by a trumpet. It fits contrapuntally with the initial triplet theme, played on the oboes.","E F G G F E D D E F",27,"S"
"BachJesuSoMeek",1,"Main tune","C C B C D B C B A G",0,"S"
"BachMassBminorCredo",1,"The Credo starts with the tenors accompanied by cellos with a walking bass line.","D B C B A D E E F G ",0,"S"
"BachMassBminorEtIncarnatus",1,"The altos enter first with this theme, followed contrapuntally by the other voices in turn.","A E C A A B B D F E ",0,"S"
"BachMassBminorGloria",1,"Trumpets start the main theme, later taken up by the chorus","C G C D E D C D E G ",0,"S"
"BachMassBminorKyrie",1,"Mass in B Minor BWV 232  Kyrie Eleison","C C D E E E A D F F ",0,"S"
"BachMinuetFrench",1,"Minuet from French Suite No 3, BWV 814","C E A E B E C E A E",0,"C"
"BachMinuetMagdalena",1,"Minuet from Anna Magdalena's Notebook","G C D E F G C C A F",0,"C"
"BachOrganChoraleWachtAuf",1,"Organ Chorale Wachet Auf - Sleepers awake!","G C D E E D F E G F ",0,"C"
"BachOrganChoraleWachtAuf",2,"The hymn-like chorale tune, accompanied by the faster flowing tune played here by the strings.","C E G G G G A G G C",46,"C"
"BachPianoConc2BWV1054M1",1,"Piano Concerto No 2 in D BWV 1054 1st Movt","C E G E F G E F G C ",0,"C"
"BachPianoConc2BWV1054M2",1,"Main theme","B BbB F#F#F#B C#D C#B",0,"C"
"BachPianoConc2BWV1054M3",1,"Main theme","D E F#A D D C#E D C#B",0,"C"
"BachPreludeInC",1,"Prelude in C  BWV846a  from The Well-Tempered Clavier","C E G C E G C E C E",0,"C"
"BachSuite2M8",1,"Main theme","B D B F#B F#D F#D B",0,"C"
"BachToccataAndFugueInDMinor",1,"Toccata  - very slow and dramatic","A G F E D C#D A E F C#D",0,"L"
"BachToccataAndFugueInDMinor",2,"Fugue -  very fast and energetic","A G A F A E A D A C#A D A",72,"C"
"BachViolinConcBMV1041M3",1,"Main tune","E A G F E D C B C D C B C",0,"C"
"BachWTCB1FBb",1,"main theme","G A G C E D B A C B A G",0,"C"
"BachWTCB1FBbm",1,"Main theme","A E F E D C B C D E",0,"C"
"BachWTCB1FC",1,"Main theme","C D E F G F E A D G",0,"C"
"BachWTCB1FCm",1,"main theme","C B C G AbC B C D G",0,"C"
"BachWTCB1FCsharp",1,"main theme","G A G F G E C G F E F",0,"C"
"BachWTCB1FD",1,"MAIN TUNE","C D E F E D E C A A G",0,"C"
"BachWTCB1FE",1,"Main theme","C D G A B C B C D E",0,"C"
"BachWTCB1FEb",1,"main theme","G E D E C F E F A G",0,"C"
"BachWTCB1FEbm",1,"Main theme","A E F E D C D E A D",0,"C"
"BachWTCB1PBb",1,"tune embedded inside demI-semi figures","C B C G A G A E",0,"C"
"BachWTCB1PBbm",1,"Main theme","A B C C C B C D D D",0,"C"
"BachWTCB1PC",1,"Main theme","C E G C E G C E C E",0,"C"
"BachWTCB1PCsharp",1,"main tune","E C G C E C F C F C",0,"C"
"BachWTCB1PD",1,"main theme","C D E G E D C G C D E",0,"C"
"BachWTCB1PE",1,"MAIN THEME","C E G C B C A G A C",0,"C"
"BachWTCB1PEb",1,"main theme","E F G F E D C BbA BbC",0,"C"
"BachWTCB1PEbm",1,"Main theme","E E A C F A D F AbB D",0,"C"
"BalakirevIslamey",1,"First theme","A A A A AbA C C AbA",0,"C"
"BalakirevIslamey",2,"Second theme","E D E C G G A G F E",145,"C"
"BalakirevIslamey",3,"Third theme","G B C D B G A G B C D",202,"C"
"BalfeKillarney",1,"Killarney","G E D C A G C C C G",0,"F"
"BalfeMarbleHalls",1,"I dreamt that I dwelt in marble halls, from The Bohemian Girl","G G C B G B A G A G",0,"C"
"BalfeOtherLips",1,"When other lips (Will you remember me) - from The Bohemian Girl","G A B F F F E E D C ",0,"C"
"BanksAndBraes",1,"Ye Banks and Braes of Bonny Doon","G C C D C D E G E D ",0,"F"
"BarbaraAllen",1,"Main tune","C E F G F E D C D E",0,"F"
"BarberAdagio",1,"Main theme","A AbA B AbA B A B C A B C",0,"C"
"BareNecessities",1,"Main theme","G A C E EbE D C C D C D C",0,"J"
"BartokRFD1",1,"Main theme","C B C D C D E E F#F#G",0,"C"
"BartokRFD2",1,"Main theme","D E F G A G D G A A",0,"C"
"BartokRFD3",1,"Main theme","D F F#F D F F#F D F",0,"C"
"BartokRFD4",1,"Main theme","E E G F E D C#D E F E D",0,"C"
"BartokRFD5",1,"Main theme","C E G E C E C E G E",0,"C"
"BartokRFD6",1,"First theme","A F#A AbAbF#A A AbF#",0,"C"
"BartokRFD6",2,"Second theme","E F#G F#G F#E E F#G A",0,"C"
"BartokRFD6",3,"Third theme","G C G C G C C BbA BbG",0,"C"
"BeetBagatelle1",1,"First theme","G F#G A B C B A D B G",0,"C"
"BeetBagatelle2",1,"First theme","G BbG D G BbG EbG BbG D",0,"C"
"BeetBagatelle3",1,"First theme","EbC AbF EbEbD C C Bb",0,"C"
"BeetBagatelle4",1,"First theme","F#F#B C#B BbB D D F#",0,"C"
"BeetBagatelle5",1,"First theme","G B C D E C#D B G A B",0,"C"
"BeetBagatelle6",1,"First theme","BbC D EbF G EbAbG AbF",0,"C"
"BeetCoriolanOverture",1,"Sombre, dramatic introduction on strings","C AbC D C EbG B",0,"C"
"BeetCoriolanOverture",2,"Main tune, quaver passage on violins","C EbEbD D G G C EbEbD",21,"C"
"BeetEgmontOverture",1,"A slow and sombre first theme","C C C D E E F#G EbE",0,"C"
"BeetEgmontOverture",2,"The second theme is a bit livelier, but still fairly dark in mood.","E F E C A F E C A F D C",134,"C"
"BeetFidelio",1,"Fidelio Overture Op 72b","C G G E C C G E E C ",0,"W"
"BeetFurElise",1,"Für Elise","E EbE EbE B D C A C ",0,"C"
"BeethovenArchdukeTrioM1",1,"Piano Trio No 7 in Bb Archduke 1st Movement","C E B C G E F G A B",0,"C"
"BeethovenMinuetInG",1,"Main tune","B C D C#D C#D C#D E",0,"C"
"BeethovenRondoinG",1,"Rondo in G","E E E G F F F E D D ",0,"C"
"BeethovenRondoinG",2,"Theme B of the rondo","D D G B D D F#A G A C#",19,"C"
"BeethovenRondoinG",3,"Theme C of the rondo","C G E C D C D EbE E",53,"C"
"BeetLeonora3Overture",1,"This is the bold principal theme, tutti with plenty of brass.","C E G A G E C A G G",0,"C"
"BeetLeonora3Overture",2,"A quieter secondary theme on woodwinds","G A B C D E G F F F",289,"C"
"BeetPianoClarinetTrioBbM1",1,"Piano Trio in Bb Op 11 for piano, clarinet and cello - 1st Movt","G AbA F D B G F E C ",0,"C"
"BeetPianoClarinetTrioBbM2",1,"Main theme","G C C C B B G D D D C C",0,"C"
"BeetPianoClarinetTrioBbM3",1,"Theme and variations -  3rd Movt","C E F G C D C B A G ",0,"C"
"BeetPianoConc1M1",1,"1st theme is played by strings.","C C C C C D E F G A ",0,"C"
"BeetPianoConc1M1",2,"2nd theme","BbA BbC BbBbAbG F Eb",81,"C"
"BeetPianoConc1M2",1,"Piano Concerto No 1 in C, Op 15 2nd Movt 1st theme","E F E D C F D B G C ",0,"C"
"BeetPianoConc1M3",1,"Piano Concerto No 1 in C, Op 15 3rd Movt 1st theme","E E D C C E E D C C ",0,"C"
"BeetPianoConc1M3",2,"Piano Concerto No 1 in C, Op 15 3rd Movt 2nd theme","D G F#G A G F#E D G ",53,"C"
"BeetPianoConc2M1",1,"Piano Concerto No 2 in Bb, Op 19 1st Movt","C C G G E E C G E C",0,"C"
"BeetPianoConc2M2",1,"Piano Concerto No 2 in Bb, Op 19 2nd Movt","E E F A E D F E E D ",0,"C"
"BeetPianoConc2M3",1,"Piano Concerto No 2 in Bb, Op 19 3rd Movt","E C E C C B C D F D ",0,"C"
"BeetPianoConc3M1",1,"Piano Concerto No 3 in C minor, Op 37 1st Movt 1st theme","A C E D C B A E A E ",0,"C"
"BeetPianoConc3M1",2,"2nd theme, still by the orchestra.","E D E F D C G C D D ",90,"C"
"BeetPianoConc3M2",1,"First Theme","E F E E D C E D C C D D D",0,"C"
"BeetPianoConc3M3",1,"Piano Concerto No 3 in C minor, Op 37 3rd Movt","E F AbAbAbA B A AbA ",0,"C"
"BeetPianoConc4M1",1,"Piano Concerto No 4 in G, Op 58 1st Movt 1st theme","E E E E E D D D D E",0,"W"
"BeetPianoConc4M1",2,"This 2nd theme is played firstly, by the orchestra as the main exposition, after which it is taken up and elaborated by the piano.","B A B G A F#D G B E ",297,"C"
"BeetPianoConc4M2",1,"Piano Concerto No 4 in G, Op 58 2nd Movt","E G F#G E B C B C C ",0,"C"
"BeetPianoConc4M3",1," This 1st cheerful theme opens on the piano.","A A C BbA A C BbA A ",0,"C"
"BeetPianoConc4M3",2,"This 2nd lively theme is played by the strings.","C B C D C B C G F E ",19,"C"
"BeetPianoConc4M3",3,"This 3rd energetic theme is played by the piano.","D C B A B C B A A D ",71,"C"
"BeetPianoConc5M1",1,"The first theme is strong and noble, as befits an emperor.","C D C B C D E C A G G C",0,"L"
"BeetPianoConc5M2",1,"This placid theme in the key of B major, is introduced by the strings.","E D E C F D G G A B ",0,"C"
"BeetPianoConc5M2",2,"Entry of piano, playing simple scale passages over simple tonic/dominant chord sequences played by the orchestra, mainly strings.","G F E D C B D C A G F E",101,"C"
"BeetPianoConc5M3",1,"This vigorous theme competes with the main theme of the first movement for the top spot as best-known tune from this concerto.","G C C E E G G C C C ",0,"W"
"BeetPianoConc5M3",2,"The rondo's second theme (Theme B)  is introduced by piano scales","C B A G A B C D E D",58,"C"
